PING 192.168.0.3 (192.168.0.3) 56(84) bytes of data.
64 bytes from 192.168.0.3: icmp_seq=1 ttl=64 time=0.236 ms
64 bytes from 192.168.0.3: icmp_seq=2 ttl=64 time=0.221 ms
64 bytes from 192.168.0.3: icmp_seq=3 ttl=64 time=0.219 ms
64 bytes from 192.168.0.3: icmp_seq=4 ttl=64 time=0.191 ms
64 bytes from 192.168.0.3: icmp_seq=5 ttl=64 time=0.195 ms
64 bytes from 192.168.0.3: icmp_seq=6 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=7 ttl=64 time=0.219 ms
64 bytes from 192.168.0.3: icmp_seq=8 ttl=64 time=0.212 ms
64 bytes from 192.168.0.3: icmp_seq=9 ttl=64 time=0.245 ms
64 bytes from 192.168.0.3: icmp_seq=10 ttl=64 time=0.213 ms
64 bytes from 192.168.0.3: icmp_seq=11 ttl=64 time=0.196 ms
64 bytes from 192.168.0.3: icmp_seq=12 ttl=64 time=0.192 ms
64 bytes from 192.168.0.3: icmp_seq=13 ttl=64 time=0.196 ms
64 bytes from 192.168.0.3: icmp_seq=14 ttl=64 time=0.177 ms
64 bytes from 192.168.0.3: icmp_seq=15 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=16 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=17 ttl=64 time=0.178 ms
64 bytes from 192.168.0.3: icmp_seq=18 ttl=64 time=0.186 ms
64 bytes from 192.168.0.3: icmp_seq=19 ttl=64 time=0.930 ms
64 bytes from 192.168.0.3: icmp_seq=20 ttl=64 time=0.205 ms
64 bytes from 192.168.0.3: icmp_seq=21 ttl=64 time=0.194 ms
64 bytes from 192.168.0.3: icmp_seq=22 ttl=64 time=0.196 ms
64 bytes from 192.168.0.3: icmp_seq=23 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=24 ttl=64 time=0.202 ms
64 bytes from 192.168.0.3: icmp_seq=25 ttl=64 time=0.216 ms
64 bytes from 192.168.0.3: icmp_seq=26 ttl=64 time=0.254 ms
64 bytes from 192.168.0.3: icmp_seq=27 ttl=64 time=0.182 ms
64 bytes from 192.168.0.3: icmp_seq=28 ttl=64 time=0.217 ms
64 bytes from 192.168.0.3: icmp_seq=29 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=30 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=31 ttl=64 time=0.185 ms
64 bytes from 192.168.0.3: icmp_seq=32 ttl=64 time=0.906 ms
64 bytes from 192.168.0.3: icmp_seq=33 ttl=64 time=0.188 ms
64 bytes from 192.168.0.3: icmp_seq=34 ttl=64 time=0.215 ms
64 bytes from 192.168.0.3: icmp_seq=35 ttl=64 time=0.199 ms
64 bytes from 192.168.0.3: icmp_seq=36 ttl=64 time=0.159 ms
64 bytes from 192.168.0.3: icmp_seq=37 ttl=64 time=0.198 ms
64 bytes from 192.168.0.3: icmp_seq=38 ttl=64 time=0.215 ms
64 bytes from 192.168.0.3: icmp_seq=39 ttl=64 time=0.215 ms
64 bytes from 192.168.0.3: icmp_seq=40 ttl=64 time=0.169 ms
64 bytes from 192.168.0.3: icmp_seq=41 ttl=64 time=0.277 ms
64 bytes from 192.168.0.3: icmp_seq=42 ttl=64 time=0.203 ms
64 bytes from 192.168.0.3: icmp_seq=43 ttl=64 time=0.212 ms
64 bytes from 192.168.0.3: icmp_seq=44 ttl=64 time=0.200 ms
64 bytes from 192.168.0.3: icmp_seq=45 ttl=64 time=0.139 ms
64 bytes from 192.168.0.3: icmp_seq=46 ttl=64 time=0.246 ms
64 bytes from 192.168.0.3: icmp_seq=47 ttl=64 time=0.164 ms
64 bytes from 192.168.0.3: icmp_seq=48 ttl=64 time=0.202 ms
64 bytes from 192.168.0.3: icmp_seq=49 ttl=64 time=0.291 ms
64 bytes from 192.168.0.3: icmp_seq=50 ttl=64 time=0.191 ms
64 bytes from 192.168.0.3: icmp_seq=51 ttl=64 time=0.190 ms
64 bytes from 192.168.0.3: icmp_seq=52 ttl=64 time=0.172 ms
64 bytes from 192.168.0.3: icmp_seq=53 ttl=64 time=0.219 ms
64 bytes from 192.168.0.3: icmp_seq=54 ttl=64 time=0.161 ms
64 bytes from 192.168.0.3: icmp_seq=55 ttl=64 time=0.188 ms
64 bytes from 192.168.0.3: icmp_seq=56 ttl=64 time=0.173 ms
64 bytes from 192.168.0.3: icmp_seq=57 ttl=64 time=0.206 ms
64 bytes from 192.168.0.3: icmp_seq=58 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=59 ttl=64 time=0.174 ms
64 bytes from 192.168.0.3: icmp_seq=60 ttl=64 time=0.180 ms
64 bytes from 192.168.0.3: icmp_seq=61 ttl=64 time=0.186 ms
64 bytes from 192.168.0.3: icmp_seq=62 ttl=64 time=0.201 ms
64 bytes from 192.168.0.3: icmp_seq=63 ttl=64 time=0.232 ms
64 bytes from 192.168.0.3: icmp_seq=64 ttl=64 time=0.270 ms
64 bytes from 192.168.0.3: icmp_seq=65 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=66 ttl=64 time=0.226 ms
64 bytes from 192.168.0.3: icmp_seq=67 ttl=64 time=0.225 ms
64 bytes from 192.168.0.3: icmp_seq=68 ttl=64 time=0.191 ms
64 bytes from 192.168.0.3: icmp_seq=69 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=70 ttl=64 time=0.184 ms
64 bytes from 192.168.0.3: icmp_seq=71 ttl=64 time=0.192 ms
64 bytes from 192.168.0.3: icmp_seq=72 ttl=64 time=0.197 ms
64 bytes from 192.168.0.3: icmp_seq=73 ttl=64 time=0.182 ms
64 bytes from 192.168.0.3: icmp_seq=74 ttl=64 time=0.161 ms
64 bytes from 192.168.0.3: icmp_seq=75 ttl=64 time=0.187 ms
64 bytes from 192.168.0.3: icmp_seq=76 ttl=64 time=0.208 ms
64 bytes from 192.168.0.3: icmp_seq=77 ttl=64 time=0.236 ms
64 bytes from 192.168.0.3: icmp_seq=78 ttl=64 time=0.189 ms
64 bytes from 192.168.0.3: icmp_seq=79 ttl=64 time=0.234 ms
64 bytes from 192.168.0.3: icmp_seq=80 ttl=64 time=0.219 ms
64 bytes from 192.168.0.3: icmp_seq=81 ttl=64 time=0.289 ms
64 bytes from 192.168.0.3: icmp_seq=82 ttl=64 time=0.183 ms
64 bytes from 192.168.0.3: icmp_seq=83 ttl=64 time=0.160 ms
64 bytes from 192.168.0.3: icmp_seq=84 ttl=64 time=0.226 ms
64 bytes from 192.168.0.3: icmp_seq=85 ttl=64 time=0.226 ms
